application_proccess,company,interview_description,interview_difficulty,interview_experience,interview_questions,job_title,offer_status,review_date
"I applied in-person. The process took 2+ weeks. I interviewed at General Assembly (New York, NY) in January 2016.",General Assembly,"phone screen, coding challenge, pairing interview, group interview, the whole process was super easy and everyone I met during the interview process was amazing. They value the talent they are interviewing as they would their own employees.",Average Interview,Positive Experience," Mostly technical questions regarding my code challenge submission.   ,Answer Question",Developer,Accepted Offer," Jun 8, 2016"
I applied online. The process took 5+ weeks. I interviewed at General Assembly.,General Assembly,"After applying, I received an initial email to establish a connection. The manager interviewed me over the phone for about 30 minutes. She told me she would be in touch with me about the position and emailed me about a week later and invited me for a video chat interview (I could not make it in person). Second interview was with a colleague, not the same person. It was another person from the Education Programs team.",Average Interview,Positive Experience," How do you feel about working with adult students?   ,Answer Question, Tell me about yourself and why you are in this field   ,Answer Question, What would you do to establish yourself within the company if hired?   ,Answer Question, What type of programs and projects have you led? Can you tell me more about what role you played?   ,Answer Question",Education Programs Producer,Declined Offer," Dec 10, 2015"
"I applied online. I interviewed at General Assembly (New York, NY).",General Assembly,"Applied for a job as a Teaching assistant at GA online, after finishing the WDI course. They brought me in for a one on one meeting and asked a few questions. I believe one question was in javascript and one in ruby. Additionally they asked me to talk about my resume.",Easy Interview,Positive Experience," Talk about your resume.   ,Answer Question, Explain javascript prototypes   ,Answer Question",Teaching Assistant,Accepted Offer," Dec 22, 2015"
I applied through other source. The process took 3+ weeks. I interviewed at General Assembly.,General Assembly,3 phone interviews and one in-person. The in person interview was a mock sales pitch. HR recruiter sent me material to review in advance. Material was very vague. Initially I was told salary was 50k then the next person said it 45k. That's a big drop of you ask me. Then the head of admissions said the salary ranges from 38k to 50k. Very confused at that point. Do I feel as I missed out on a great thing? Not really.,Average Interview,Neutral Experience," Tell me about yourself?   ,Answer Question, How can you help others with the skills you already have?   ,Answer Question",Regional Inside Sales Associate,No Offer," Dec 21, 2015"
I applied online. I interviewed at General Assembly in December 2015.,General Assembly,"Applied online, got an email to set up an initial phone screen about a week or two later. Phone screen was about 30 minutes, and she asked me to walk through my experience. Some general questions on my knowledge of the company and the position. Did not get an offer, but had a great experience. The employee who interviewed me was extremely kind and professional, and genuinely cared about me as a candidate. They are very good about getting back to you when they say they will.",Average Interview,Positive Experience," What do you think a typical day in this position looks like?   ,Answer Question",Partnership Coordinator,No Offer," Dec 20, 2015"
"I applied online. The process took 4+ weeks. I interviewed at General Assembly (Seattle, WA) in December 2015.",General Assembly,"Phone interview to screen. Pretty basic. The recruiter called to see if it would be a right fit. After that, I came in to have 2 1:1's and pitched to one of them to see how I'd handle the job.",Average Interview,Positive Experience," The usual. Mostly, pratice what you might say to a potential customer. Roleplaying that for the job.   ,Answer Question",Admissions Manager,No Offer," Jan 19, 2016"
N/A,General Assembly,"Soon after I submitted my application, someone from General Assembly reached out to schedule a phone interview. I replied promptly with times that would work, and then... never heard from them again, despite additional emails and a phone call from me. Very disorganized and inconsiderate.",N/A,Negative Experience,,Senior Producer,No Offer," Oct 15, 2015"
The process took 1+ week. I interviewed at General Assembly.,General Assembly,"Shortly after I applied, I got an email to set up a phone interview for the next day. It was about 20 mins and he just asked what my experience was and why I wanted to work at GA. Then he spent most of the call explaining the position and company. Then got an email to set up another phone interview with the director the following day. More else ended up being the same phone call though he did ask me to briefly pitch GA to a potential student. Not too difficult so long as you look over the site beforehand. I was then emailed again to set up an in person interview for the following week. I met with about 5 people who all asked the same questions: tell me about your last job, describe a difficult customer and how you handled it, and do you have any questions for me. It was a bit odd since none of them had my resume nor did they ask for it or seem to know what was up. It got a little frustrating that the interviewers didnt seem totally prepared , having to repeat the same answers over and over again and not having anymore questions to ask seeing as you're meeting with so many other interviewers who answered anything you could possibly wonder. They stress how low pressure the work environment is and how productive they are in spite of that. I agree, it did look like a very lax environment but I do wish they took the interview process more seriously.",Easy Interview,Neutral Experience," tell me about yourself   ,Answer Question, how do you handle something going wrong   ,Answer Question",Admissions Associate,No Offer," Aug 29, 2015"
"I applied through an employee referral. The process took 5 days. I interviewed at General Assembly (New York, NY) in September 2015.",General Assembly,"The course producer asked me questions regarding my specific experiences in marketing, as well as my experience as a GA student. It wasn't overly stressful, or too formal, basically just need to know your stuff.",Average Interview,Positive Experience," What areas do you consider your strengths is Digital Marketing?   ,1 Answer",Instructional Associate,Accepted Offer," Apr 4, 2016"
"I applied through an employee referral. The process took a week. I interviewed at General Assembly (Seattle, WA) in September 2015.",General Assembly,"email exchange happened, was asked date to connect via video call, we jumped in to the video call and chitchat for like 15-30 mins and next thing I knew was getting the job",Easy Interview,Positive Experience," was asked how i knew about the job and if I will be good at them   ,1 Answer",FL Associate,Accepted Offer," Jan 4, 2016"
"I applied through an employee referral. The process took 3 weeks. I interviewed at General Assembly (San Francisco, CA) in September 2015.",General Assembly,"I received an intro call from the Hiring Manager, then came in once to meet with the hiring manager and the office manager, and one other time to meet with 4 other employees who would work on the same team. The process lasted about 3 weeks. Efficient while also thorough.",Average Interview,Positive Experience," When was a time when you disagreed with a colleague and how did you resolve the issue?   ,Answer Question",Partnerships Coordinator,No Offer," Feb 2, 2016"
"I applied through an employee referral. I interviewed at General Assembly (Santa Monica, CA).",General Assembly,Teachers Assistants are former students who were good students during their cohort and have been asked to become TA's. You must attend a teacher assistant seminar to understand some of the responsibilities of being a TA. Acted out a TA Student interaction.,Easy Interview,Positive Experience," How would you approach a student who needs help? How can you guide them?   ,Answer Question",Teaching Assistant,Accepted Offer," Aug 14, 2015"
"I applied online. The process took 3 days. I interviewed at General Assembly (New York, NY) in July 2015.",General Assembly,"Was brought in for two 1:1 meetings. They were both relaxed and conversational and although at times were a little brash, they were genuinely interested in what I had to say, and ended up in a tangental conversation.",Easy Interview,Positive Experience," How did you find out about General Assembly?   ,Answer Question",Front Line,Accepted Offer," Aug 5, 2015"
"I applied online. I interviewed at General Assembly (Santa Monica, CA) in July 2015.",General Assembly,The interview for the UXDI course was fairly simple and straight forward. An administrative person called me and interviewed me regarding my interest in taking User Experience Design Immersive. They asked me questions regarding certain design challenge. They basically want to see if candidates have the thought process for User Experience.,Average Interview,Positive Experience," Why UX?   ,Answer Question",UXDI,Accepted Offer," Dec 9, 2015"
"I applied online. The process took 1 day. I interviewed at General Assembly (New York, NY) in June 2015.",General Assembly,"First a phone interview which was very unprofessional. Someone in the background was laughing , and the interviewer kept saying that my phone was breaking up. After that, they sent me a request to send them a video lesson and to ask me to take one of their courses. Of course, they do not tell you that 80% of the course you have to pay; so be aware, before you make money with them, they make money off you. I did not continue my interview process with them . Very unprofessional.",Average Interview,Negative Experience," they ask you one sql question, general questions about your resume, and what you know about excel   ,Answer Question",Data Analysis Mentor,No Offer," Jul 2, 2015"
"I applied through a recruiter. The process took 4 days. I interviewed at General Assembly (New York, NY) in June 2015.",General Assembly,"I applied, and after a few days, I received an email for a phone interview, and I accepted it for two days after that. Interview was about 16 minutes. The guy seemed like he just wanted to get over with this interview. There were lots of questions. It seemed almost like he had to ask all of these questions to see if he could qualify me into the next round. It was not the best interview. I was nervous because I really wanted the position, and I am a bit disappointed that they did not give me an opportunity.,At the end of the phone call, the guy said that he would contact me regardless of what happens in a week, but I never got contacted, I had to follow up and hear that I didn't get it.",Average Interview,Neutral Experience," What is a difficult situation that you had to get through at work?   ,Answer Question, What kind of compensation are you expecting?   ,Answer Question, What do you know about our company?   ,Answer Question",Admissions Producer,No Offer," Jul 6, 2015"
I applied in-person. The process took a week. I interviewed at General Assembly.,General Assembly,"First, I met with the class producer in the corporate office. Then I had to schedule meetings with the two course instructors. I had to meet with the two course instructors independently, scheduling the meeting myself. So rather then an interview in which subsequent interviews are scheduled based on subsequent rounds, I had to schedule three separate interviews- finding locations and times to do so. In the end, I was told I'd be welcome to join the class, but not work for it, which I felt was a rebuff (i.e please pay us to take the course, but we won't pay you to help instruct, even though that's what you interviewed three times for). I did find it generally positive to speak to the instructors, but it would have made a lot more sense to have the interviews at their corporate office, rather than me finding locations/times, and could have effectively been accomplished in one interview.",Difficult Interview,Negative Experience," How did you find out/learn of this position?   ,Answer Question",Teaching Assistant,No Offer," May 13, 2015"
I applied online. I interviewed at General Assembly.,General Assembly,"A 30 minute phone conversation, then a few days later I was given an assignment that took me about 10 hours to complete. We had a phone conversation to debrief the assignment, and she said she'd get back to me shortly. It's been a few months and I haven't heard a word - not even a rejection. I think it's rude.",Average Interview,Negative Experience," Nothing out of the ordinary.   ,Answer Question",Global Program Team,No Offer," May 15, 2015"
"I applied online. The process took 3 days. I interviewed at General Assembly (Boston, MA) in May 2015.",General Assembly,"Applied online and was asked to come in the next day. The interview was very casual, and my interviewer seemed a bit unprepared as she mentioned she hadn't really looked at my resume. A lot of it felt conversational and less like an interview, due to the lack of questions being asked.",Average Interview,Neutral Experience," Tell me about how your previous experience relates to the AP role?   ,Answer Question",Admissions Producer,No Offer," Aug 23, 2015"
"I applied through an employee referral. The process took 3 days. I interviewed at General Assembly (San Francisco, CA) in April 2015.",General Assembly,"After making initial contact with Splunk, I was contacted via email to setup a phone interview. The phone interview happened the very next day and took all of 10 minutes. They asked me to come into the office to meet with the man I would be working directly under. We talked for 30-40 minutes about my background, his position in the company, what sort of work he needed help with, and what sort of work I had done in the past. I walked him through a couple projects, he said he would be in touch and walked me to the door. I heard back a few days later that I did not get the position.",Easy Interview,Positive Experience," Are you a big fan of marketing?   ,1 Answer",Web UI/User Experience Design,No Offer," May 14, 2015"
"I applied online. The process took 2+ weeks. I interviewed at General Assembly (San Francisco, CA).",General Assembly,"I was contacted 2 days after applying and had an interview using video chat that same day. Just a basic get to know you deal. Then I was invited the come in for an in-person interview. The in-person interview was somewhat tedious as I met with 3 different people (1:1 consecutively) who asked essentially all the same questions. However the people were pleasant and seemed genuine. It was a good experience otherwise.,Everything went great and it seemed like their reactions were indicating I was getting the job. They said they'd be in touch early the following week. I didn't hear from them and contacted them. They delayed a bit more until the next week and told me I was out. I guess they found someone ""more qualified"" or that they liked better. No hard feelings though.",Average Interview,Neutral Experience," If a new teacher had complaints already, how would you address that with the new teacher?   ,Answer Question",Education Programs Producer,No Offer," Mar 25, 2015"
I applied through a staffing agency. I interviewed at General Assembly.,General Assembly,"In all it was a very good experience even I didn't get an offer. They have very causal and dynamic work environment. The interview was conducted in the lounge area where there were many employees met with each others and a real bar. Interview questions were not very difficult but due to the nosiy environment, it's a little bit hard to hear clear the questions.",Average Interview,Positive Experience,,AP Coordinator,No Offer," Feb 27, 2015"
N/A,General Assembly,"I have only good things to say about the entire process. After submitting my application I was contacted almost immediately for an interview. Everyone I spoke to was very friendly and knowledgeable. While I didn't get the job, the overall experience was pleasant and left me with high regards for the company and it's culture.",N/A,Average Interview,,Junior Designer,No Offer," Jan 20, 2015"
I applied online. The process took 1+ week. I interviewed at General Assembly in January 2015.,General Assembly,First I had a Google Hangout with a lead in New York. Then I met with the regional director and a couple of other local full time staff in person at the campus. I was extended an offer a few days after that.,Easy Interview,Neutral Experience," What makes you weird?   ,1 Answer",Front Lines,Accepted Offer," Feb 3, 2016"
N/A,General Assembly,"Great initial phone chat with HR, met with three people on site for about 2.5 hours. Left on a good note, then heard absolutely nothing after that. Zilch. Sadly there are still companies that still do this. I agree with the reviews that point out that this is a company full of young people that are in serious need of more professional leadership and HR.",N/A,Average Interview," Questions were fairly standard.   ,Answer Question",Director,No Offer," Dec 30, 2014"
I applied in-person. The process took a week. I interviewed at General Assembly.,General Assembly,"I'm not sure what to say other than I'm disappointed. Most of the process was great, but the surprise at the end was a disappointment. I was contacted by a staff member via email, and set up a phone interview that was a basic phone screen about my experience. I spoke to 2 employees on the phone, and had a typical experience discussing my experience in the industry. I had an in person interview shortly after, where I spoke with the 2 staff members, and went over my experience as it applied to being an instructor. I gave a sample teach about a week later in front of 4 staffers for about 20 minutes, and answered questions about designing the lesson and how it was to teach. It was up to me to design the sample teach and identify what I felt was important. That went well, and then I heard back from them. The kicker was that although they liked me, I was told that the position had been filled - that they had chosen a previous instructor to teach the class, but that they'd keep my name on file. I felt pretty disappointed - your job as a school is to ask previous instructors if they want to teach and then if no one's available, THEN you interview new people, or you let them know that you're being interviewed with no possibility of employment. Create a spreadsheet or something - not rock science to keep organized I feel like they were dishonest, and essentially wasted my time and theirs by interviewing (including my prep time, with little information on the sample class) and going with a previous instructor. The classes are probably great, but I'm feeling like they were very disorganized. I've also contacted by them for various positions by various individuals and even to 'help them improve our process', and have played email tag on LinkedIn with all of them, not hearing back even though I'm positive and open to talking. They say my experience is great, come in for an interview...I reply, and nothing. I understand growing pains, but I don't feel confident about them if they're that disorganized, so know what you're going into - that they're as much a start up as a viable educational institution.",Average Interview,Negative Experience," No difficult questions, but not much guidance on the sample lesson - it was 'up to me'.   ,Answer Question",Instructor,No Offer," Nov 26, 2014"
"I applied online. I interviewed at General Assembly (Washington, DC) in December 2014.",General Assembly,"The process consisted of three interviews. The first was a pretty general informational session - I didn't get the sense that they were doing more than a cursory screening there. The next was a phone interview with some pretty standard interview questions - why do you want to be here, how would you describe yourself, etc. The third came after a brief programming exercise. There were one or two brain teaser type questions and some talk about the assignment. The brain teasers weren't make-or-break - when I didn't get it right away, the interviewer gave me a couple of hints and I get the sense that they would have given me more had I continued to struggle. They said they're more interested in how you approach the problem than whether you actually get the answer; I'm inclined to believe it.",Difficult Interview,Positive Experience,,Student,Accepted Offer," Apr 22, 2017"
I applied online. I interviewed at General Assembly.,General Assembly,"Applied online after meeting some GA reps at a career fair. A current non-HR employee then reached out over email and scheduled some time for us to meet at the office. The interview was conversational with all the usual interview questions and a little bit about the company. They mentioned a week of time before letting me know a decision about next steps, but it actually took two weeks and an email nudge before I was told that I wasn't moving forward.",Average Interview,Neutral Experience," Nothing was too unexpected, except there was a bit of a hiccup when I was being considered for multiple roles at GA and the interviews were then set up together.   ,Answer Question",Associate Education Programs Producer,No Offer," Oct 14, 2014"
"I applied online. The process took 4 days. I interviewed at General Assembly (Los Angeles, CA) in August 2014.",General Assembly,"I applied online, then got an email & set up a phone call. I talked to someone in a different city who passed me along to someone in my city. We emailed and set up a time to come in. I did a 15 minute ""sample teach"", where a handful of other instructors & producers sat in as if they were students and asked questions. After, just a few of us sat and talked about how the classes worked and what my day would look like. They called a few days later with an offer to start immediately.",Easy Interview,Neutral Experience," The sample teach, something like – &#034;Assuming students just learned about arrays with Ruby, how would you teach them to use symbols &amp; hashes?&#034; It was timed at 15 minutes, so you should be mindful of what you intend to cover in that limited amount of time.   ,Answer Question",Web Development Immersive Instructor,Accepted Offer," Sep 23, 2015"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (New York, NY) in August 2014.",General Assembly,"Applied cold online, had phone call with a global manager in HQ, then had a video chat with regional director at the campus I was interviewing for.,Everyone I spoke with was intelligent and friendly. The questions weren't super rigorous, it seemed like they were more focused on getting socially competent, junior-level type people.,Questions were clearly designed to verify my experience listed on my resume. Also included a few behavioral questions about different career advising/ employer relations scenarios.",Easy Interview,Positive Experience," Why do you want to work at General Assembly?   ,Answer Question",Outcomes Producer,Accepted Offer," Dec 29, 2016"
"I applied online. The process took 3 days. I interviewed at General Assembly (San Francisco, CA).",General Assembly,"I applied online and was contacted quickly after by a recruiter. We set up a 30 minute phone screen interview where we discussed my background, experience, skills and career interests. Afterward, I was scheduled for an in-person 1:1 with another instructor for 30-40 minutes. We discussed more about the program, curriculum, experiences as an instructor, expectations and personality fit. The recruiter followed-up to see what my thoughts were and if we could schedule the final step in the process: a 90-minute, in-person, group/panel interview. I was given a lesson plan and sample deck, plenty of explanation on what to expect, and and overview of the on-site interview. I did a sample teach for the first part of the session (15-20 minutes), a debrief with instructors and producers on my teaching, question and answers, and overview of the program schedule and curriculum. Afterward, the recruiter followed up on the session and informed me that the producer would be in touch soon.",Average Interview,Positive Experience," What do you think you might struggle with the most during the program?   ,Answer Question",Instructor,Accepted Offer," May 1, 2014"
"I applied online. The process took 6 weeks. I interviewed at General Assembly (New York, NY) in May 2014.",General Assembly,"Applied directly to GA and sent follow up email to team. Was invited in for first round interview which was pretty much a ""get to know you"" process. Straight forward questions, why GA, the position, etc. Was contacted for follow-up project on current business challenge and then brought in for another round of interviews. Overall, great cultural vibe, environment and industry. I will say they have a lot of growing up to do since the average age seems less than 25. Communication was choppy and inconsistent though professional. It's clear that the hiring process was very opaque, lacked any real methodology or process, and left me confused how it was ended abruptly after being told I would be speaking with others. Biggest takeaway, they're still young, have a lot of informal structures in place, and could probably benefit from some more experienced senior hires overseeing the recruiting process. Ce la vie.",Average Interview,Neutral Experience," Business case study on a particular area of concern for their program. Unfortunately I will not provide specifics of the issue.   ,Answer Question",Program Manager,No Offer," May 28, 2014"
"I applied online. The process took 4+ weeks. I interviewed at General Assembly (San Francisco, CA) in March 2014.",General Assembly,"I applied online and was contacted for a Skype interview about a month later. I had a brief interview where I was asked to mainly talk more about the experiences in my resume. I thought the interview went pretty well and I was told I would hear back by the following week. I never got a followup email. Even after I reached out, I did not get a response and have yet to hear back.",Easy Interview,Negative Experience," Questions were pretty basic, nothing unexpected.   ,Answer Question",Education Program Producer,No Offer," Apr 10, 2014"
"I applied online. The process took 2 weeks. I interviewed at General Assembly (New York, NY) in February 2014.",General Assembly,"The interview process left me impressed with the idea of GA but with many questions in terms of the actual work environment. After receiving a call from one of their employees asking we set up a time to have a phone interview 2 days later yet when the new scheduled time arrived I never received a call so I called and left a message. A few hours later my interviewee called emailed me saying he was ""stuck on the train"" and asked if we could reschedule during the weekend. When I suggested a time it was rejected as he was ""moving this weekend"" which caused me to question why it would have been suggested in the first place. I was pretty much ready to tell them to forget about it but figured I might as well continue on anyway and after a brief phone conversation was invited into the office for a face to face interview.,The in-person interview was ok but it was clear there was no order at all. I met with a few different people - most were fairly welcoming but a few seemed to be downright rude (but hey, different personalities - I get it). I was more concerned that it seemed like there was no order or reason for who I was talking to and the questions were weak. The majority of the workforce struck me as trust-fund babies...albeit intelligent ones. Their ""trust no one over 30"" mentality (seriously, I didn't see a single person anywhere near middle age) came off to me as unwarranted hubris as well. Still, the company seems like they have a bright future but I think it was clear to both themselves as well as myself that I was not a good fit. Unfortunately, I had to initiate to find out their decision - I was told in the follow-up that they ""just made"" the decision to go with someone else the day I inquired but being that they already had clear issues with communication prior, I'm skeptical that's the case.",Easy Interview,Negative Experience," No real difficult questions. It was more of a conversation with some standard behavior based questions thrown in for good measure.   ,Answer Question",Associate Admissions Producer,No Offer," Jun 2, 2014"
"I applied online. The process took 4 weeks. I interviewed at General Assembly (New York, NY) in September 2013.",General Assembly,"Had four rounds of interviews - phone call, two in person (with multiple people) and then a video call as my final interview. Pretty standard questions, nothing that stands out as out of the ordinary.",Average Interview,Positive Experience," ""Tell me a joke.""   ,1 Answer",Marketing Manager,No Offer," Aug 16, 2014"
"I applied online. The process took 4 weeks. I interviewed at General Assembly (New York, NY).",General Assembly,"Contacted me out of the blue with no prior warning and spoke with one of the management (surprisingly) for about 20 minutes and immediately scheduled an interview the next day. Proceeded to have a 30 minute conversation with him that was very similar to the first (very easy going people, very nice, but still very much on their game). They emailed me immediately after the call and asked me up to NYC for an in-person interview at their HQ two days later. Their HQ is beautiful, the people are great, very open environment. I really cannot say a bad thing about them. They waited another week before scheduling yet another interview (sales pitch). I didn't end up getting the job, but I have no hard feelings about it.",Easy Interview,Positive Experience,,Sales Representative (Admissions Producer),No Offer," Jul 5, 2013"
I applied online. I interviewed at General Assembly.,General Assembly,"Applied for a position that was filled so was contacted about a different position opening asking to interview me. I first had a 30/45 minute phone interview with pretty general 'screen' interview questions and explaining more about the position. I was then brought in for an in person interview with two people. The interview was relatively informal and more of a conversation. Why GA? Why the role? Some behavioral questions to explain ""a time when you failed"" ""a time you had to think of your feet"" ""what do you admire in your coworkers?""",N/A,N/A," Tell me about a time you had to think of your feet.   ,Answer Question",Producer,No Offer," Feb 3, 2013"
I applied online. I interviewed at General Assembly.,General Assembly,I applied online and was contacted shortly after. I had a phone screening which I passed and then another phone interview which I was told I also passed. I was then told to submit my availability for a third interview and after doing so I never heard from the recruiter again which I thought (and still think) is a little strange.,Average Interview,Negative Experience," Why General Assembly?   ,Answer Question",Sales Associate,No Offer," Jun 18, 2017"
"I applied online. The process took 4+ weeks. I interviewed at General Assembly (London, England (UK)) in April 2017.",General Assembly,"Arranged a few times with the recruiter, the recruiter last minute rescheduled yes during the actual interview time. Just poor communication lack of professionalism and unaware of the effort candidates make for the job.,Red flag!",Average Interview,Negative Experience,,Sales,No Offer," Oct 9, 2017"
I applied online. The process took 2 weeks. I interviewed at General Assembly (Sydney (Australia)) in January 2016.,General Assembly,"I didn't get the job, but the experience was pleasant. I was guided through the process and it was clear what to expect and how to get prepared for the next stage. The team members were friendly and relaxed, so I didn't feel like I am going through a stressful selection process.",Easy Interview,Positive Experience," Previous experience, software that I am able to use   ,Answer Question",Teaching Assistant,No Offer," Feb 4, 2016"
"I applied online. The process took 2+ months. I interviewed at General Assembly (London, England (UK)) in August 2015.",General Assembly,After applying I was asked to confirm a date for scheduling an interview. Never heard back and 1-2 weeks later followed up and got the very first email (generic response) a month later! This time I made sure we had the call. Then I had a technical code challenge which I did. They got back to me a few days after saying there was a candidate but offering the chance of getting some feedback as I spent time doing the code challenge - I asked for it but didn't hear back. Followed up 1-2 weeks later and didn't hear back. This was a couple of months ago so doubt I will hear back from them again. Very poor communication in the recruitment process.,Average Interview,Negative Experience," tell me about yourslef   ,Answer Question",Senior Developer,No Offer," Nov 12, 2015"
"I applied online. The process took 2 days. I interviewed at General Assembly (London, England (UK)) in April 2015.",General Assembly,"Brief. Began with Skype interview, then in-person. Very simple and fast interview process; management more concerned with their needs than getting to know applicants. Easy job to get, likely due to high turnover from poor management.",Easy Interview,Neutral Experience," No questions asked; just chatted about job requirements   ,Answer Question",Front Line,Accepted Offer," Aug 14, 2015"
I applied online. The process took 2 days. I interviewed at General Assembly in August 2012.,General Assembly,"Received email from recruiter for telephonic chat, and had brief discussion on my interests in company and role, contributions to role.,Interviewer said she will get back with feedback, but never heard back",N/A,Average Interview," What course you will introduce and why?   ,1 Answer",Urriculum Lead Position,No Offer," Oct 16, 2012"
