application_proccess,company,interview_description,interview_difficulty,interview_experience,interview_questions,job_title,offer_status,review_date
"I applied online. The process took 6 weeks. I interviewed at Zillow (New York, NY) in November 2016.",Zillow,An incredible process. Zillow is committed to ensuring a fit both culturally and professionally. The team made me feel so welcome and took the time to get to know me both as a person and potential employee.,Average Interview,Positive Experience," Describe a specific situation you handled when an employee was struggling and you assisted.   ,Answer Question",Inside Sales Manager,Accepted Offer," Dec 9, 2016"
"I applied online. The process took 2 weeks. I interviewed at Zillow (New York, NY) in November 2016.",Zillow,"Applied online. Heard from HR in a matter of days for initial phone screening. Elevated to next rounds including hiring manager, director and vp. All interviews were done by phone as they had a short timeline. Sent thank you emails. Received rejection via HR system-generated email, not even a personal note or call.",Average Interview,Neutral Experience," No questions really stood out. They talked a lot.   ,Answer Question",Sales,No Offer," Dec 12, 2016"
"I applied online. The process took 5 weeks. I interviewed at Zillow (New York, NY) in November 2016.",Zillow,"The whole process took 5 weeks, one online coding test, two rounds phone interview, and one on site interview. Really enjoyed to communicate with the recruiting team, they work professionally and take fully consideration of people's working status. Also they act really quick. And the interviewee are really friendly, they listened to me clearly and we exchanged ideas. I feel no pressure at all.",Average Interview,Positive Experience,,Software Engineer,Accepted Offer," Dec 27, 2016"
"I applied through a recruiter. The process took 2 weeks. I interviewed at Zillow (Providence, RI) in November 2016.",Zillow,"In person interview was straightforward, not too bad. Interview consisted of questions that built on previous questions, and interviewer helped out to get me back on track when going off course or lost in ideas.",Average Interview,Positive Experience," Straightforward OOP questions   ,Answer Question",Software Engineer,No Offer," Apr 4, 2017"
"I applied online. I interviewed at Zillow (Irvine, CA) in November 2016.",Zillow,Had a phone interview with a recruiter and then moved on to another phone interview with my direct manager. After those I was set up with an in-person interview that consisted of 3 in-person sessions and one tele-conference interview with various team members on the same day. Was contacted within 1 week with results.,Average Interview,Positive Experience," Mainly focused on my background experience in the industry.   ,1 Answer",Consultant,Accepted Offer," Sep 1, 2017"
"I applied online. The process took 2+ months. I interviewed at Zillow (Denver, CO) in November 2016.",Zillow,"Interview happens with three different people, two team leads, followed by the head of the department. All very friendly. They say they only hire 1% of people who apply, but I found the interview to be low stress, just a nice conversation with several people.",Average Interview,Positive Experience," Share a time when you set a goal and what you did to get to that goal.   ,Answer Question",Client Engagement Specialist,Accepted Offer," Oct 19, 2017"
The process took 1+ week. I interviewed at Zillow.,Zillow,"The process moved quickly. Sent in a resume, based upon a job posting. Was contacted by internal recruiter for phone interview. Had another phone interview with manager. Then went into offices for face to face interview with two managers. Spent time in the sales area. Another call with VP of sales, then with HR. Zillow was very communicative through the process.",Average Interview,Positive Experience," What don't you like about sales?   ,Answer Question, Tell me about a time a client had a negative experience, but you were able to work with the client to re-establish trust.   ,Answer Question",Senior Business Coordinator,Accepted Offer," Oct 26, 2016"
"I applied through an employee referral. The process took 2 weeks. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,HR recruiting called me and we chatted about the position. About a day later I received an email invitation for an interview. The recruiter then called me and prepped me with names and a schedule of who I would meet with. I arrived at the office and was treated immediately and given a snack bag with water. The interview lasted about 3.5 hours in total ; half hour interviews with 5 different team members . We topped off the interview with a tour of the offices.,N/A,Positive Experience," The interview process was more of a conversation about the role and the needs from each team member. A few questions were typical but most were included in the conversation.   ,Answer Question",Project Manager,Accepted Offer," Oct 15, 2016"
I applied through a recruiter. The process took 4+ weeks. I interviewed at Zillow in October 2016.,Zillow,"It took a week to get hold of Recruiter until finally he wrote one liner email to schedule initial phone chat. Following week I had a talk with Recruiter who scheduled phone screen interview.,The judgement day came and I was ready sling some sword. Interviewer came in 10 min late for interview. I was really disappointed by quality of question. Freaking Fibbonaci. The first program I ever wrote as a programmer.,Yes for senior developer position, I was asked to implement program which returns sum of Fibbonaci Numbers in C#. I wrote program in 5 minutes which confused recruiter somehow. So I changed program and wrote it in a different way. He told me it was still wrong. I explained the working step by step and politely asked him to compile and run. (We were using Hackerrank). He couldn't figure out how to run. So I made a quick fiddle on Dotnetfiddle, and dm him a link. He could clearly see how my both approaches were working fine. he argued my program's time complexity in O(square of n), I proved its O(n). Then he argued space complexity of program is more and he have better solution. As you can see we already have spent lot time on stupid things. I really wished he asked me some quality questions and move on for god sake from Fibbonacci. I was really aggravated by inexperience of Interviewer and I was ready to pack my bags for Pisa to find the grave of Fibbonacci and vandalize it.,I provided him a method which didn't work due to some typo. He purged program ; provided his solution disregarding 4 different O(n) solutions. Cool. Left on good note , thanked me for showing dotnetfiddle, sent me rejection letter following week.,When people say these people want Monkeys to work for them (other interview reviews). They are right except they are wrong with Animal Analogy. They want Donkeys to work for them who listens to them blindly and give birth to their sterile Hinny programs.",Easy Interview,Negative Experience," Cumulative sum of fibonacci series   ,Answer Question",Senior Software Engineer,No Offer," Oct 24, 2016"
"I applied online. The process took 4+ weeks. I interviewed at Zillow (San Francisco, CA).",Zillow,"The standard HR screening call, then a call with the design director. After that, I did a design test which directly focused on their own product. This is the first red flag for me. Design tests, morally speaking, should have nothing to do with the company's actual product. Regardless, I did the design test and was called in to present to a team of 6 people, and then go on a series of 6 interviews. They all went smoothly and all of the interviewers did an excellent job, save for some out-of-the-blue logic / math questions in one of the interviews that had little to do with the position. I'll chalk that up to just not knowing how to interview a designer.,Time went by, and I received an automated message telling me I was not selected. No big deal! The problem is, when someone spends that much time and gets that far in the interview process, an automated message rejection is a little lame. Further, the temporary emails in which the recruiters were using to reach out to me with at that point immediately ceased to function. All I wanted was some simple feedback to improve myself, which I feel is the least they can do after all the time I invested, but they've barred that from happening.,Bottom line: good people, good office, sketchy design test prompt (free crowd-sourced R&D), refusal to provide feedback after several rounds of interviewing, poor tact for HR in automated email rejection after 8 interviews, a design test, and a presentation.",Average Interview,Negative Experience," Design test: Look at our app and help us come up with a new feature for it   ,Answer Question",UI Designer,No Offer," Sep 26, 2016"
"I applied through an employee referral. The process took 1+ week. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"1) Recruiter screening,Typical recruiter screening call. Spoke about my job and previous jobs. Talked about the open roles.,2) Take home assignment,Deep data dive into fake data. Can't say more than this.,3) Spoke with hiring manager,Discusesed my experience. Spoke about some prime examples of a way I dove into data and created a working predictive model.,4) Zillow chose to move on with other candidates",Average Interview,Positive Experience," Describe an example of how you created a working predictive model. Be detailed.   ,Answer Question",Data Scientist,No Offer," Oct 27, 2016"
"I applied online. The process took 4 weeks. I interviewed at Zillow (Chicago, IL) in October 2016.",Zillow,HackeRank link with the specific 2 problems and two phone interviews using HackeRank. They reply to email very fast and rescheduled one interview because there was some signal issue with my phone.,Average Interview,Negative Experience," 1st phone interview - two problems, reverse the order of words in a sentence and the second one 4 numbers are missing, find them.,2nd phone interview - traverse a binary tree and append the values to a string, use the string from part 1 to reconstruct the tree, unfortunately it's impossible to reconstruct a binary tree with only post traversal, however you can reconstruct a binary search tree,At the end I received an email telling me that they are looking only for seniors.   ,Answer Question",Software Development Engineer,No Offer," Nov 10, 2016"
"I applied through a staffing agency. The process took 4+ weeks. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"The interview consists of three parts, two phone screens and one on site.,For the two phone screens, they are purely technical, and you were tested against one algorithm question in 45 minutes. The algorithm questions are about array. Please review on array.,Then HR invites me to do on site interview. For on site interviews, there are 5 rounds.,3 rounds are purely technical, you are tested with algorithm questions, especially in terms of dynamic programming. Please prepare for that. There is even one brain teaser problem, it is about merge sort, since I signed NDA, I will not disclose it. But the question is very interesting.,2 rounds are about behaviors. Please better prepare for what you did in your previous employer, why Zillow, your future career plan and so on.,All in all, all the questions are pretty manageable. Actually Zillow finds culture fit more than skills. Please be prepared in terms of Zillow product and Zillow future.",Average Interview,Positive Experience," Since I signed NDA, I will not disclose any of them.   ,Answer Question",Software Development Engineer,Accepted Offer," Nov 11, 2016"
"I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"Outsider recruiter contacted me first. Then transferred to an in-house recruiter. Then phone interview. Had a terrible experience with Zillow. The message they are sending to the applicants are: we are paying really well in this town. You are lucky to be here. And it showed: the outsider recruiter was super eager and overselling. The in-house one couldn't care less - always late: canceled the first contact at the last minute. Then 15 min late on the 2nd. The phone interviewer dropped the ball - didn't call until 30min into a hour long appointment. I suggested we cancel and reschedule but nudged me into ""something quick, let's where we end up with"". Then proceeded with a 3-dimensional clustering question",Average Interview,Negative Experience," You are given a list of three dimensional coordinates. Find the point that is at the center.   ,Answer Question",Software Engineer,No Offer," Jun 16, 2017"
"I applied through an employee referral. The process took 5 days. I interviewed at Zillow (Irvine, CA) in October 2016.",Zillow,Was a pretty typical interview process of multiple interviewers one at a time. The interviewers were equal parts of asking and answering questions. All of them were personable and made me feel like I wanted to work there. I got a tour of the Irvine office and was impressed with the facilities and how they appear to treat their employees.,Average Interview,Positive Experience," Tell me about your background?   ,Answer Question, Why are you interested in Zillow?   ,Answer Question, How would you address a situation where business puts demands on engineering to deliver but then doesn't use the new feature?   ,Answer Question",Senior Program Manager,Accepted Offer," Oct 31, 2016"
"I applied online. The process took 2 weeks. I interviewed at Zillow (Irvine, CA) in October 2016.",Zillow,"The process started with an initial phone interview with a Human Resources representative to qualify the candidate, followed by a phone interviews with your would be manager. Then was invited to an on site interview that started with a job function related exercise, followed by 1-on-1 interviews with several relevant managers.",Average Interview,Positive Experience," Name a time when you were in a position of leadership and had to diffuse a problem among your team. How did you deal with the issue?   ,Answer Question",Associate Account Manager,Accepted Offer," Nov 1, 2016"
"I applied online. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"The hiring process included three interview phases: initial phone screen, baseline product knowledge assessment over the phone, and a five hour in-person interview loop.,The initial phone screen went well. The recruiter was very energetic and did a great job of explaining the aspects of the position, as well as the overall company culture. My info was forwarded to another team member to coordinate the remainder of my interviews with staff at Zillow.,The second interview was a general product knowledge assessment over the phone. The bulk of the interview process was spent answering questions related to data types, built-in functions, and problem solving/query design. The interview lasted about 20 to 30 minutes. At the end of the interview, the interviewer pointed out a few areas of suggested improvement, which was very much appreciated. He then sent my information back to the coordinator to move on to the final phase of the process.,The final interview was in-person at the Seattle office. The interview lasted five hours, which included a working lunch with the hiring manager. I met with five individuals over the course of the five hour interview loop, and the questions varied in form and complexity. There were situational questions, data modeling design/questions, requests to design queries based on the data models created, query optimization suggestions, and debugging/tuning best practices. All of the modeling and query design was performed on a whiteboard as the problems were stated by the interviewer.,The lead recruiter met with me at the end of the interview loop and went over the details of the position one last time, and was told she would be in touch with me within two or three days. I was contacted by her with an offer within 36 hours of the in-person interview, and I formally accepted the position the following day.,I’ve graded the interview process as “difficult” given the breadth of topics covered during both the baseline product knowledge phone screen and the five hour in-person interview.",Difficult Interview,Positive Experience," The questions asked were contextual to the problems presented.   ,Answer Question",Database Developer,Accepted Offer," Nov 1, 2016"
"I applied online. The process took 4 weeks. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"Zillow moves really fast with their interviews. Started with a phone screen with the recruiter, followed by a short phone interview with a member of the team. The phone interview included going through resume/experiences and one or two simple technical questions.,Finally there's an on-site interview that includes five one-hour interviews with different people from the team. The interviews are very tightly packed with not even a minute of break time in the middle, but they alternate between behavioral and technical with one of the behavioral ones almost seem like it's designed to help me relax. Overall process was a little exhausting for the candidate, but very well planned and executed.",Average Interview,Positive Experience," Whiteboard coding problems (both data and general programming/algorithms)   ,Answer Question, Mini case studies   ,Answer Question",Data Analyst,Accepted Offer," Nov 9, 2016"
"I applied online. The process took 2 weeks. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"Called by recruiter, who wouldn't talk then, rather wanted to schedule time later. We agreed upon a later date/time. Said recruiter was 20 mins late to call and did not apologize. He was clearly running behind but for some reason didn't want to acknowledge. Made small talk then started asking questions that made it clear to me he did not have resume in front of him. When I rather rudely made that point 'If you read my resume you would realize ...' he took it in stride and indicated he wanted to schedule me for a technical screen. I was so disgusted by this guy I almost stopped the loop, but decided to move forward to see how technically strong the team was. A week later I accepted an offer at another company. I emailed said recruiter and asked him to please let the technical interviewer know I was pulling my candidacy.. Well....on the day of the scheduled technical screen, I got a call from the technical screener 90 MINUTES LATER than our scheduled call. This guy did apologize for being late (90 fricking mins, can you believe it?). I told him I had pulled my candidacy and the recruiter had wasted his time.",Easy Interview,Negative Experience," Seattle rains alot - you will be moving from a sunshine state. Will you be able to handle that?   ,1 Answer",Principal Program Manager,Declined Offer," Dec 9, 2016"
"I applied online. The process took 5 weeks. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"1. Phone screen with a recruiter (within a week after my application),2. Technical Phone interview (Took about 2 weeks from the phone screen),3. Onsite interview (Took about two more weeks). This process was about 5 hours. Meeting individuals from different groups.,They paid for the flight/ accommodation etc since I had to fly from a different state.,Interviewers were good and knowledgeable.,Interview process a good experience. But I think they were favoring on how they would have designed or solved a problem (basically their approach). My thought is that they can't expect candidate to give the exact same solution without having the same level of inputs, system knowledge, exposure, and TIME. :)",Difficult Interview,Positive Experience," some were puzzles... Many of them were database related questions - technical, design, or problem solving..   ,Answer Question",Database Developer,No Offer," Apr 11, 2017"
"I applied online. The process took 4 weeks. I interviewed at Zillow (San Francisco, CA) in October 2016.",Zillow,"Great experience. Walked through several case studies, answered questions about my ambition, company goals, company direction, etc. Asked for ideas for future products and critiques about their product. I met with direct reports in addition to designers and engineers to learn about their overall work flow and process.",Average Interview,Positive Experience," Where do you see yourself in five years?   ,Answer Question",Product Manager,No Offer," May 23, 2017"
"I applied through college or university. The process took 4 weeks. I interviewed at Zillow (Seattle, WA) in October 2016.",Zillow,"I had an on-campus interview with an engineer that led to a phone interview.,After that, I moved on to an on-site interview in Seattle, which shortly after led to an offer.",Difficult Interview,Positive Experience," Data Structures and Algorithms questions as well as Systems Design and optimizations   ,Answer Question",Software Development Engineer,Accepted Offer," Dec 13, 2016"
I applied through college or university. I interviewed at Zillow in October 2016.,Zillow,Met the recruiter during career fair. Later got contacted to hold one phone interview. Typical Data Structures and Algo interview style. I was only asked one question and the interview was 1 hour long. Got the results in about a week.,Average Interview,Positive Experience," DS and Algo Style question?   ,Answer Question",Software Engineer(Internship),No Offer," Oct 21, 2017"
I applied online. The process took 4+ weeks. I interviewed at Zillow in September 2016.,Zillow,I applied online. Scheduled a call with recruiter who was lovely and described the role.Recruiter set up a call with a developer. The developer was not interested in the call.,Average Interview,Negative Experience," Given a binary tree and a sum, determine if the tree has a root-to-leaf path such that adding up all the values along the path equals the given sum.,Follow up:,Given a binary tree and a sum, find all root-to-leaf paths where each path's sum equals the given sum.   ,Answer Question",Software Development Engineer,No Offer," Oct 6, 2016"
"I applied online. The process took 2+ months. I interviewed at Zillow (Seattle, WA).",Zillow,"Slow, Had to nag the recruiter about my status two times. During on-sites the interviewers seemed pretty uninterested and bored. They were probably busy, but still gave me a weird vibe.",Average Interview,Neutral Experience," Determine if parenthesis in a string all have valid matches   ,Answer Question, String, array, bit manipulation questions. Easy - medium.   ,Answer Question",Software Development Engineer,No Offer," Sep 19, 2016"
"I applied online. The process took 4+ weeks. I interviewed at Zillow (Seattle, WA).",Zillow,"First and foremost, let me put it out there that Zillow is a great company and I believe that they have a great employee program. The interview process itself was very standard. The first interviews is an initial call with recruiter and then a scheduled phone interview with the hiring manager. The final interview is a back to back interview with 4 managers. The three interviews were pretty standard but the fourth interview was the one that caught me off guard and asked me questions that threw me off my game, I am not even sure if it was slightly discriminatory but has been lurking in the back of my head.",Difficult Interview,Negative Experience," Given the team is a lot younger than you, do you feel that you will run into any challenges working with them?   ,1 Answer",MLS and Broker Support,No Offer," Sep 6, 2016"
I applied through a recruiter. The process took a week. I interviewed at Zillow in September 2016.,Zillow,"Recruiter contacted me via LinkedIn and setup a phone screen. I saw lot of good reviews about Zillow on Glassdoor but experienced nothing like that in the phone screen. A senior engineer calls me. does a quick intro and is not interested in knowing about me (even for a minute). He starts with ""this is a coding interview, you are expected to code"" (as if I was expecting to do an audition for a movie over phone). Just pastes a question in the online coding pad and goes to do his work. A lot of typing going on which distracts me. I finish it up in no time. He asks for run time complexity which I state, but looks like I got it wrong (that is because of an inbuilt method that changed its implementation with the latest java version). He then goes on to paste a second question. (again, no explanation of what to do, just paste it and goes about doing his work). I figured out that the second problem's expected output was inconsistent and pointed out the same. He doesn't seem to listen. He goes like , ok, I will give you another problem and pastes the third problem. I finish this one handling all edge cases . I start asking him questions, he is still typing and answers it as one liners. I lost interest finally and said I have nothing more to talk. The call ended 10 minutes earlier even after I coded both the problems. They are looking for coding monkeys, not humans.,If you do not have 30 minutes to assess a candidate, why do you even schedule interviews and waste my time?",Average Interview,Negative Experience," Find the length of string recursively.   ,Answer Question, Find if an array of numbers that satisfy the fibonacci sequence.   ,Answer Question",Software Engineer,No Offer," Oct 19, 2016"
"I applied online. I interviewed at Zillow (Irvine, CA) in September 2016.",Zillow,"It was obvious upon entering the hidden realm of Zillow, that it was a very young culture. Agents who pay for ""Premium"" are getting spoon fed advice from 20 something's with no real estate license. My experience in Real Estate and my license worked against me, because my experience would cause me to question exactly what is going on there.,If you are older and have vast RE experience, they WILL NOT hire you at Zillow.",Average Interview,Negative Experience," describe a time you conflicted with management   ,1 Answer",Business Consultant,No Offer," Sep 16, 2016"
"I applied online. The process took 2 weeks. I interviewed at Zillow (Seattle, WA) in September 2016.",Zillow,"The interview process moved very quickly - I was contacted by the recruiter within one week after applying online. I had a phone interview with the recruiter, then a second phone interview with hiring manager one week later. I was offered an onsite interview where I met with 6 different people followed by the recruiter. Everyone was extremely nice and helpful which made it easy to be comfortable during the interview. The recruiter contacted me two days after my onsite interview to notify me that they were going to offer me the job. I had a fantastic experience at Zillow and I can't wait to start working there!",Average Interview,Positive Experience," What is your greatest accomplishment?   ,Answer Question",Front Desk Coordinator,Accepted Offer," Sep 26, 2016"
"I applied through college or university. The process took 3 weeks. I interviewed at Zillow (Seattle, WA) in September 2016.",Zillow,"the interview process moves very quickly, I could always expect the feedback the day after the interview. All interviewers (2 rounds phone screen + 3 rounds onsite) are very nice and helpful when I got stuck. Although the interview process for the intern position is pretty long, I think it is very rewarding.",Average Interview,Positive Experience," phone screen: LRU cache, find first duplicate number,onsite: NDA   ,Answer Question",Software Engineer,Accepted Offer," Oct 29, 2016"
"I applied online. The process took 3 weeks. I interviewed at Zillow (New York, NY) in September 2016.",Zillow,The interview process was overall positive. I was contacted by a recruiter who did a phone screen. I was then immediately scheduled for a phone screen with the the hiring manager. This was then followed by a scheduled in-person interview. I met with three separate people. Everyone in the office was friendly and the office was really nice.,Average Interview,Positive Experience," How would your friends describe you?   ,Answer Question",Sales Operations Contractor,No Offer," Sep 14, 2016"
"I applied online. The process took a week. I interviewed at Zillow (Seattle, WA) in September 2016.",Zillow,"I applied online and was contacted the same day about setting up a phone screen for the following week. I interviewed with a recruiter who asked me if I would be available to interview with a sales manager later that day. I was a bit nervous because I only had a few hours to prepare. That call ended up going well and I was brought in the next week and interviewed with both managers, a VP and a director of sales.",Average Interview,Positive Experience," What do you think will be the most challenging aspect of this role for you?   ,Answer Question",Account Executive,Accepted Offer," Sep 22, 2016"
"I applied through an employee referral. The process took 2 weeks. I interviewed at Zillow (Seattle, WA) in September 2016.",Zillow,First step was a brief phone call with a recruiter to see what my interests were and if there was a match in general for the position. Second step was a technical phone screen with a software engineer. Phone screen was 45 minutes and very professional. The first 10 minutes were discussion about the position and my resume. The next 30 minutes were technical coding questions. The last 5 minutes were my questions for the interviewer.,Average Interview,Positive Experience," Write a KNN algorithm with some simple test data.   ,Answer Question","Software Engineer, Machine Learning",No Offer," Sep 23, 2016"
"I applied through a recruiter. The process took 4 days. I interviewed at Zillow (San Francisco, CA) in September 2016.",Zillow,"Zillow reached out to me via my Hired profile. There was a 30 minute technical phone screen by the hiring manager, followed by a 3.5 hour onsite with 4 interviewers. I was interviewed by a female iOS engineer, a male senior iOS engineer, a female product manager, and the male hiring manager/team lead.,Both male engineers had a very condescending and confrontational interview style. Not sure if it's because I'm female and they're just used to talking to females like that or not. The product manager interrogated me about why I'd want to work at Zillow. Funny, talking to her convinced me that it wouldn't be a good fit for me (well, that as well as the confrontational male engineers). The female iOS engineer was extremely nice, but that's the only redeeming part of the interview experience.",Easy Interview,Negative Experience," How would you implement a tableview if Apple suddenly deprecated UITableView tomorrow?   ,1 Answer",Senior IOS Engineer,No Offer," Sep 27, 2016"
"I applied online. The process took 5 days. I interviewed at Zillow (Seattle, WA) in September 2016.",Zillow,"Applied online, received an email the next day to schedule a phone screening. Interview was ~10 minutes long, recruiter asked questions and described the job in a very transparent fashion. Questions were typical interview style. At the end of the interview, she said they would get back to me with a decision by Monday (it was Friday at the time). Never heard back from them, otherwise I would say this was a positive experience.",Average Interview,Neutral Experience," How will you deal with repetitive work days?   ,Answer Question",Client Engagement Specialist,No Offer," Oct 5, 2016"
"I applied online. The process took 4 weeks. I interviewed at Zillow (Austin, TX) in September 2016.",Zillow,I received an email from a Zillow recruiter with an online coding challenge to complete whenever I had time. It took a few weeks to hear back with the results (I did not move forward).,N/A,Neutral Experience," questions about trees with unconventional structures   ,Answer Question",Software Development Engineer,No Offer," Oct 9, 2016"
I applied online. The process took a week. I interviewed at Zillow in September 2016.,Zillow,"Applied online. I did an OA first, which has two questions, fairly standard algorithm questions.,Then the phone interview was quite hard. The interviewer asked me how many ways can I represent an amount using several currencies.",Difficult Interview,Neutral Experience," How many ways can you represent an amount of money using $1,$5,$10, or $25.   ,Answer Question",Software Development Engineer,No Offer," Oct 31, 2016"
I applied through a recruiter. The process took 2 days. I interviewed at Zillow in September 2016.,Zillow,"I first met a recruiter at my school's job conference, and we discussed some of my past projects and the my previous internships. I then had a sit-down interview at the job conference with a data scientist who worked at Zillow. During the interview, we discussed one fundamental machine learning topic, and we went through the modern techniques within that topic. Unfortunately, I did not hear back from Zillow after the interview.",Difficult Interview,Positive Experience," Explain the concept of overfitting to me, and explain what steps we could take to reduce overfitting.   ,Answer Question",Data Scientist,No Offer," Nov 18, 2016"
"I applied online. I interviewed at Zillow (Irvine, CA).",Zillow,"I have my fingers and toes crossed that working for this company is as great as the whole interview process was. From start to finish, very professional and efficient the whole way through. Oftentimes, I have found in my job pursuits that recruiters are very hit and miss, this was not the case with Zilllow. I never felt like I experienced any radio silence or was left in the lurch. The recruiter/s were always very responsive and gave me great feedback. The whole process was very positive, one of the most positive in my career experience (and I have been out there in the working world for quite a while).",Average Interview,Positive Experience," What is one of the most difficult situations you had to deal with in a past position? How did you handle it?   ,Answer Question",Senior Business Consultant,Accepted Offer," Aug 4, 2016"
"I applied online. The process took 1+ week. I interviewed at Zillow (Seattle, WA) in August 2016.",Zillow,"I completed the application online and I was contacted the following day to set up an initial phone screen. I spoke to one of the Sr. Manager's in Recruiting and had a really great conversation about Zillow and the kind of work environment it is, as well as the qualities they were looking for in an employee and I was looking for in an employer. It was one of the best phone screens I've ever had! That then led to an on-site interview with members of the team, which also proved to be just as awesome. Everyone asked really thoughtful and insightful questions, and really did their best to make me feel comfortable. It was really a great interview experience.",Average Interview,Positive Experience," Why Zillow?,Describe a recent issue you had at work due to communication, or lack thereof.   ,Answer Question",Recruiting Coordinator,Accepted Offer," Sep 11, 2016"
"I applied through a recruiter. The process took 1+ week. I interviewed at Zillow (Seattle, WA) in August 2016.",Zillow,"phone screen, followed by a long day of on sites.,Horrible experience, especially with recruiters. It seems to me that the recruiters at this company are paid by candidates that receive and accept the offer. I know that Zillow is considered a growing company that has potential, but during the interviews my overall experience was that it was not such a happy place to be in. Overall, the interviewers were polite and acted correctly, but I didn't get any vibe from them. Nothing. Very low energy. But by far the worst was the recruiter who called me to tell me that I did not receive the offer. He was rude, unpleasant and made me feel like I failed completely. He refused to let me know what went wrong. Luckily, I have offers from other top companies so that makes me feel much better about myself.",Average Interview,Negative Experience," All the questions were on the medium difficulty level. You can find some of them in the book Elements of programming interviews. If you practice with this book, you will not be surprised. I wasn't surprised at all from the questions, just from the result.   ,Answer Question",Software Development Engineer,No Offer," Sep 17, 2016"
"I applied through an employee referral. The process took 4+ weeks. I interviewed at Zillow (Seattle, WA) in August 2016.",Zillow,"There are several HRs taking care of different interviewing and recruiting process. They are very responsible, kind and lovely. They usually respond quick and will help to solve any problem arise. My HR also brought snacks for me when I was doing my onsite interview. It is a very comfortable, effective and wonderful interviewing experience with Zillow.",Easy Interview,Positive Experience," What is the biggest achievement in your life? What is the thing that you taught yourself?   ,Answer Question","Software Development Engineer, Big Data",Accepted Offer," Sep 1, 2016"
"I applied through a recruiter. The process took 3 weeks. I interviewed at Zillow (Seattle, WA) in August 2016.",Zillow,"Phone interview was pretty seamless, they used a pair-programming site and had me do a few interesting JS problems. Questions seemed appropriate, and they weren't hung up on dumb stuff like syntax or arcane knowlege - it seemed to test programming ability.,On-site was a series of interviews with different people. Some asked questions on background, experience etc.; some just talked with me about industry stuff; a couple had coding challenges, which weren't super hard.",Average Interview,Positive Experience," Technical question: write a login form that locks after 5 incorrect tries. Upload creds using ajax.   ,1 Answer",Front End Developer,Accepted Offer," Sep 8, 2016"
I applied through a recruiter. The process took 3+ weeks. I interviewed at Zillow in August 2016.,Zillow,"Entire process took approx 3-4 weeks. Recruiter phone interview, then a sales manager phone interview. Then a 2-hour office interview (1/2 hr with sales manager via Skype, 1/2 hr with sales VP via Skype, 1 hour with GM in person). The next week I was set up with another phone interview with a HR manager.,All interviews went well; cordial and conversational. I provided tons information on myself, the company, the role, and the interviewers' careers specifically. Only 1 person had a standoff-ish vibe, but that changed by the end of the interview.,I arrived a half hour early, which happened to be during lunch time. I was able to observe the entire floor, coming and going. And noticed there weren't any people of color, coming or going. Correction: There was one young lady, but she worked at the front desk.,About a week after my final interview, I was contacted and told that they went with another candidate (although the position was just re-listed online the day before). I cannot say for certain that race was a deciding factor, but I would bet the bank that the position was filled by someone who fit the ""company culture"" (ie: a white male).,Seems like a good company, as long as you fit their mold, which Is clearly visible in their online photos across their different locations. They are based in Seattle, which is notoriously and statistically the ""whitest"" region in the country. But I wouldn't expect the same ideals to apply in NYC, the most culturally diverse city in the world.,In short, if you resemble Ryan Lochte, apply immediately. If not, don't waste your time.",Average Interview,Negative Experience," Why Zillow?   ,Answer Question, Sales Role Play   ,Answer Question",Business Consultant,No Offer," Aug 31, 2016"
"I applied online. I interviewed at Zillow (Irvine, CA) in August 2016.",Zillow,"A Disabled Veteran with MBA and years of Real Estate Knowledge and Real Estate Connections in California Market couldn't get an in office interview with Zillow. I worked at a major financial institution working with California Realtors so I have deep connections to real estate.,I had a great experience with the Seattle Zillow Recruiter and he liked my real estate my experience, deep connections to realtors, education and what I could bring to Zillow.,Before my scheduled 2nd Interview I went to 2 Premier Zillow agent’s offices that I knew to learn about Zillow’s products so I could prepare for my 2nd Interview.,I had my 2nd Interview with a Sales/Manager well but it appears they want more a car or gym membership sale experience vs real estate sales, knowledge and connections which are more valuable when marketing to real estate agents.,Wish them all the best ...",Easy Interview,Negative Experience," Asked to sell him a product and I pitched him to buy another Zip code and upgrade to Zillow Premier Agent Services.   ,1 Answer",Senior Business Consultant,No Offer," Sep 2, 2016"
"I applied online. The process took 2 weeks. I interviewed at Zillow (Seattle, WA) in August 2016.",Zillow,"I did not go further than the phone screen. The interviewer was nice and patient; however, the call quality was a hindrance to the conversation. The call itself kept cutting in and out making it hard to understand the interviewer.",Average Interview,Neutral Experience," What makes you different from the other candidates?   ,Answer Question",Administrative,Accepted Offer," Oct 19, 2016"
